iter	Passed	Remaining
0	169	168919
1	174	87301
2	186	61869
3	190	47388
4	200	39804
5	204	33941
6	208	29642
7	213	26436
8	221	24358
9	228	22591
10	235	21199
11	241	19913
12	249	18969
13	253	17860
14	257	16903
15	264	16294
16	267	15470
17	271	14796
18	280	14457
19	283	13909
20	286	13369
21	296	13191
22	301	12807
23	311	12655
24	315	12315
25	325	12203
26	330	11903
27	338	11745
28	343	11517
29	354	11450
30	358	11212
31	367	11129
32	371	10898
33	377	10733
34	388	10705
35	395	10599
36	401	10454
37	406	10294
38	419	10331
39	428	10274
40	432	10125
41	446	10188
42	462	10299
43	468	10170
44	472	10021
45	477	9908
46	485	9851
47	490	9731
48	500	9718
49	504	9592
50	514	9575
51	518	9461
52	529	9469
53	535	9379
54	545	9379
55	549	9265
56	557	9227
57	567	9222
58	573	9143
59	577	9049
60	585	9010
61	589	8914
62	593	8829
63	604	8841
64	608	8755
65	616	8729
66	622	8674
67	626	8592
68	631	8521
69	635	8444
70	645	8443
71	650	8385
72	661	8403
73	665	8327
74	674	8322
75	679	8258
76	683	8191
77	689	8145
78	692	8074
79	696	8009
80	702	7973
81	705	7897
82	706	7809
83	709	7737
84	716	7714
85	719	7646
86	722	7581
87	725	7515
88	730	7481
89	733	7420
90	736	7361
91	739	7300
92	745	7272
93	749	7223
94	752	7169
95	758	7146
96	761	7093
97	764	7040
98	767	6987
99	775	6983
100	778	6933
101	781	6884
102	790	6884
103	794	6843
104	807	6884
105	813	6858
106	824	6885
107	829	6852
108	837	6848
109	841	6810
110	845	6768
111	852	6755
112	855	6718
113	859	6679
114	867	6679
115	871	6642
116	875	6604
117	882	6597
118	888	6579
119	894	6557
120	898	6524
121	901	6485
122	904	6451
123	910	6433
124	913	6395
125	916	6355
126	918	6312
127	921	6278
128	926	6256
129	929	6221
130	932	6184
131	935	6151
132	939	6125
133	942	6092
134	945	6058
135	948	6024
136	953	6008
137	957	5978
138	960	5948
139	963	5917
140	968	5902
141	971	5869
142	974	5842
143	978	5816
144	984	5806
145	987	5778
146	991	5755
147	998	5747
148	1001	5717
149	1004	5689
150	1006	5661
151	1013	5653
152	1015	5624
153	1018	5594
154	1021	5566
155	1024	5543
156	1028	5524
157	1031	5497
158	1034	5471
159	1037	5444
160	1041	5427
161	1044	5402
162	1047	5377
163	1049	5351
164	1053	5330
165	1057	5314
166	1060	5288
167	1062	5263
168	1066	5241
169	1069	5219
170	1074	5209
171	1077	5188
172	1080	5166
173	1082	5140
174	1087	5125
175	1089	5100
176	1091	5075
177	1093	5051
178	1096	5027
179	1101	5019
180	1104	4995
181	1106	4973
182	1108	4949
183	1110	4926
184	1116	4918
185	1120	4901
186	1124	4886
187	1126	4867
188	1131	4853
189	1135	4838
190	1138	4822
191	1152	4850
192	1160	4853
193	1164	4839
194	1168	4824
195	1179	4838
196	1184	4827
197	1194	4836
198	1199	4826
199	1219	4877
200	1226	4877
201	1231	4865
202	1239	4864
203	1243	4851
204	1247	4838
205	1252	4828
206	1257	4816
207	1267	4827
208	1271	4810
209	1274	4794
210	1277	4777
211	1282	4765
212	1284	4746
213	1286	4725
214	1288	4705
215	1290	4685
216	1297	4682
217	1300	4666
218	1303	4647
219	1305	4627
220	1310	4620
221	1313	4602
222	1315	4583
223	1317	4564
224	1319	4545
225	1326	4542
226	1336	4549
227	1347	4562
228	1353	4556
229	1362	4561
230	1365	4546
231	1371	4541
232	1375	4527
233	1378	4513
234	1381	4497
235	1388	4494
236	1391	4478
237	1394	4463
238	1396	4445
239	1399	4432
240	1402	4417
241	1405	4400
242	1407	4383
243	1409	4366
244	1418	4372
245	1431	4388
246	1435	4377
247	1439	4363
248	1442	4349
249	1448	4345
250	1451	4331
251	1454	4316
252	1456	4300
253	1461	4293
254	1464	4278
255	1467	4264
256	1481	4282
257	1484	4269
258	1487	4255
259	1493	4249
260	1495	4235
261	1498	4222
262	1502	4209
263	1510	4211
264	1514	4200
265	1520	4196
266	1525	4188
267	1529	4176
268	1536	4176
269	1541	4169
270	1545	4157
271	1559	4172
272	1562	4161
273	1568	4156
274	1571	4143
275	1574	4131
276	1578	4118
277	1582	4109
278	1585	4096
279	1587	4083
280	1590	4070
281	1598	4070
282	1601	4058
283	1605	4046
284	1613	4048
285	1617	4039
286	1621	4028
287	1624	4015
288	1627	4003
289	1630	3991
290	1637	3990
291	1640	3978
292	1643	3966
293	1647	3955
294	1652	3949
295	1655	3936
296	1657	3924
297	1661	3913
298	1667	3910
299	1670	3898
300	1673	3885
301	1676	3873
302	1682	3869
303	1684	3857
304	1687	3845
305	1691	3835
306	1696	3830
307	1700	3820
308	1704	3811
